time_sec,step,x,y,yaw_rad,yaw_deg,distance_to_goal_m,linear_cmd,angular_cmd,pixel_x,pixel_y,map_value,map_class
8.669,1,3.981128,7.866716,0.000157,0.009,9.505843,0.150000,0.000000,79,224,254,free
8.880,1,4.002677,7.866727,0.000118,0.007,9.488772,0.150000,0.000000,80,224,254,free
9.081,1,4.033097,7.866737,0.000104,0.006,9.464707,0.150000,0.000000,80,224,254,free
9.281,1,4.058431,7.866732,0.000112,0.006,9.444701,0.150000,0.000000,81,224,254,free
9.581,1,4.104034,7.866738,0.000054,0.003,9.408746,0.150000,0.000000,82,224,254,free
9.781,1,4.134571,7.866746,0.000013,0.001,9.384715,0.150000,0.000000,82,224,254,free
10.081,1,4.180473,7.866738,0.000010,0.001,9.348674,0.150000,0.000000,83,224,254,free
10.281,1,4.211103,7.866742,0.000025,0.001,9.324666,0.150000,0.000000,84,224,254,free
10.481,1,4.241754,7.866748,0.000031,0.002,9.300681,0.150000,0.000000,84,224,254,free
10.681,1,4.272406,7.866743,0.000030,0.002,9.276741,0.150000,0.000000,85,224,254,free
10.882,1,4.297937,7.866742,0.000033,0.002,9.256828,0.150000,0.000000,85,224,254,free
11.082,1,4.328556,7.866748,0.000044,0.003,9.232979,0.150000,0.000000,86,224,254,free
11.382,1,4.374442,7.866748,0.000059,0.003,9.197320,0.150000,0.000000,87,224,254,free
11.682,1,4.420276,7.866751,0.000050,0.003,9.161790,0.150000,0.000000,88,224,254,free
11.883,1,4.450822,7.866756,0.000050,0.003,9.138160,0.150000,0.000000,89,224,254,free
12.083,1,4.481379,7.866755,0.000054,0.003,9.114567,0.150000,0.000000,89,224,254,free
12.283,1,4.511957,7.866756,0.000059,0.003,9.090997,0.150000,0.000000,90,224,254,free
12.484,1,4.542562,7.866762,0.000065,0.004,9.067446,0.150000,0.000000,90,224,254,free
12.783,1,4.583407,7.866763,0.000066,0.004,9.036085,0.150000,0.000000,91,224,254,free
14.284,2,4.597945,7.866763,0.000177,0.010,9.024940,0.150000,0.000000,91,224,254,free
14.484,2,4.614004,7.866769,0.000210,0.012,9.012638,0.150000,0.000000,92,224,254,free
14.684,2,4.644398,7.866776,0.000151,0.009,8.989389,0.150000,0.000000,92,224,254,free
14.885,2,4.674991,7.866779,0.000066,0.004,8.966034,0.150000,0.000000,93,224,254,free
15.184,2,4.721014,7.866783,0.000074,0.004,8.930982,0.150000,0.000000,94,224,254,free
15.385,2,4.751738,7.866787,0.000128,0.007,8.907637,0.150000,0.000000,95,224,254,free
15.585,2,4.782480,7.866790,0.000153,0.009,8.884323,0.150000,0.000000,95,224,254,free
15.785,2,4.813178,7.866794,0.000143,0.008,8.861088,0.150000,0.000000,96,224,254,free
16.007,2,4.838709,7.866798,0.000130,0.007,8.841797,0.150000,0.000000,96,224,254,free
16.207,2,4.869308,7.866801,0.000134,0.008,8.818721,0.150000,0.000000,97,224,254,free
16.407,2,4.899863,7.866803,0.000150,0.009,8.795723,0.150000,0.000000,97,224,254,free
16.618,2,4.930352,7.866808,0.000159,0.009,8.772820,0.150000,0.000000,98,224,254,free
16.818,2,4.960823,7.866814,0.000157,0.009,8.749977,0.150000,0.000000,99,224,254,free
17.019,2,4.991298,7.866819,0.000148,0.008,8.727177,0.150000,0.000000,99,224,254,free
17.319,2,5.037079,7.866827,0.000142,0.008,8.693013,0.150000,0.000000,100,224,254,free
17.620,2,5.082997,7.866836,0.000149,0.009,8.658856,0.150000,0.000000,101,224,254,free
17.919,2,5.123922,7.866842,0.000156,0.009,8.628505,0.150000,0.000000,102,224,254,free
18.219,2,5.170010,7.866850,0.000168,0.010,8.594430,0.150000,0.000000,103,224,254,free
18.419,2,5.200692,7.866854,0.000178,0.010,8.571808,0.150000,0.000000,104,224,254,free
19.820,3,5.215044,7.866858,0.000442,0.025,8.561242,0.000000,0.500000,104,224,254,free
20.020,3,5.221432,7.866888,0.013761,0.788,8.556524,0.000000,0.500000,104,224,254,free
20.329,3,5.228421,7.866959,0.072372,4.147,8.551338,0.000000,0.500000,104,224,254,free
20.543,3,5.231031,7.867038,0.137867,7.899,8.549367,0.000000,0.500000,104,224,254,free
20.833,3,5.232402,7.867262,0.278373,15.950,8.548208,0.000000,0.500000,104,224,254,free
22.259,4,5.228054,7.866231,0.516514,29.594,8.552101,0.150000,0.000000,104,224,254,free
22.551,4,5.259323,7.884473,0.534590,30.630,8.516754,0.150000,0.000000,105,224,254,free
22.839,4,5.294194,7.905171,0.536269,30.726,8.477103,0.150000,0.000000,105,223,254,free
23.043,4,5.320524,7.920740,0.530188,30.378,8.447210,0.150000,0.000000,106,223,254,free
23.337,4,5.360265,7.943940,0.527795,30.240,8.402303,0.150000,0.000000,107,223,254,free
23.541,4,5.386798,7.959468,0.531141,30.432,8.372302,0.150000,0.000000,107,222,254,free
23.747,4,5.413344,7.975129,0.533171,30.548,8.342205,0.150000,0.000000,108,222,254,free
23.950,4,5.439767,7.990707,0.532072,30.485,8.312261,0.150000,0.000000,108,222,254,free
24.233,4,5.479390,8.013953,0.529610,30.344,8.267446,0.150000,0.000000,109,221,254,free
24.443,4,5.505779,8.029405,0.530117,30.373,8.237626,0.150000,0.000000,110,221,254,free
24.663,4,5.527733,8.042285,0.531141,30.432,8.212806,0.150000,0.000000,110,221,254,free
24.947,4,5.567110,8.065424,0.531583,30.457,8.168271,0.150000,0.000000,111,220,254,free
25.149,4,5.593366,8.080862,0.531055,30.427,8.138576,0.150000,0.000000,111,220,254,free
25.351,4,5.619650,8.096298,0.530747,30.410,8.108868,0.150000,0.000000,112,220,254,free
25.644,4,5.659170,8.119503,0.531061,30.428,8.064214,0.150000,0.000000,113,219,254,free
25.853,4,5.685587,8.135025,0.531266,30.439,8.034365,0.150000,0.000000,113,219,254,free
26.865,5,5.698349,8.142524,0.531019,30.425,8.019947,0.000000,-0.500000,113,219,254,free
27.157,5,5.694545,8.141238,0.489348,28.038,8.023591,0.000000,-0.500000,113,219,254,free
27.364,5,5.693545,8.140784,0.404676,23.186,8.024629,0.000000,-0.500000,113,219,254,free
27.656,5,5.692841,8.140410,0.225545,12.923,8.025396,0.000000,-0.500000,113,219,254,free
27.858,5,5.692558,8.140393,0.113566,6.507,8.025613,0.000000,-0.500000,113,219,254,free
28.067,5,5.692396,8.140370,0.032469,1.860,8.025747,0.000000,-0.500000,113,219,254,free
29.374,6,5.701217,8.140361,-0.191922,-10.996,8.019357,0.150000,0.000000,114,219,254,free
29.670,6,5.732507,8.134365,-0.190029,-10.888,8.000856,0.150000,0.000000,114,219,254,free
29.960,6,5.777490,8.125465,-0.200106,-11.465,7.974598,0.150000,0.000000,115,219,254,free
30.168,6,5.807413,8.119370,-0.200551,-11.491,7.957352,0.150000,0.000000,116,219,254,free
30.458,6,5.851993,8.110563,-0.195501,-11.201,7.931616,0.150000,0.000000,117,219,254,free
30.663,6,5.881618,8.104630,-0.196262,-11.245,7.914666,0.150000,0.000000,117,219,254,free
30.879,6,5.911472,8.098670,-0.198421,-11.369,7.897654,0.150000,0.000000,118,220,254,free
31.164,6,5.956389,8.089652,-0.198841,-11.393,7.872246,0.150000,0.000000,119,220,254,free
31.374,6,5.986434,8.083612,-0.197780,-11.332,7.855359,0.150000,0.000000,119,220,254,free
31.576,6,6.011514,8.078587,-0.197359,-11.308,7.841315,0.150000,0.000000,120,220,254,free
31.865,6,6.056691,8.069538,-0.198054,-11.348,7.816163,0.150000,0.000000,121,220,254,free
32.072,6,6.086847,8.063471,-0.198462,-11.371,7.799499,0.150000,0.000000,121,220,254,free
32.273,6,6.116910,8.057425,-0.198271,-11.360,7.782971,0.150000,0.000000,122,220,254,free
32.567,6,6.161926,8.048394,-0.197778,-11.332,7.758365,0.150000,0.000000,123,221,254,free
32.767,6,6.191882,8.042388,-0.197872,-11.337,7.742096,0.150000,0.000000,123,221,254,free
32.980,6,6.221757,8.036398,-0.198130,-11.352,7.725958,0.150000,0.000000,124,221,254,free
33.274,6,6.261592,8.028398,-0.198258,-11.359,7.704584,0.150000,0.000000,125,221,254,free
33.474,6,6.291479,8.022394,-0.198179,-11.355,7.688650,0.150000,0.000000,125,221,254,free
34.680,7,6.306021,8.019435,-0.198029,-11.346,7.680958,0.000000,0.500000,126,221,254,free
