experiment_id,method,flow,run_dir,outcome,wall_clock_sec,path_length_m,path_efficiency_ratio,final_distance_to_goal_m,total_llm_cycles,total_actions,total_pose_samples_map,total_cmd_vel_samples,llm_provider,llm_model
1,A* + LLM Follower,5,/Users/brennenfarrell/Desktop/homework/senior/robotics/project/experiment_data_folder/experiment_1/flow_5/20260426_214107,goal_reached,205.766,14.806283430927126,0.6419955646542707,0.082,41,41,1998,2213,anthropic,claude-sonnet-4-6
1,Nav2 NavigateToPose Baseline,6,/Users/brennenfarrell/Desktop/homework/senior/robotics/project/experiment_data_folder/experiment_1/flow_6/20260427_000944,goal_reached,80.102,14.742994542815394,0.6447517580404589,0.239,0,0,755,1200,nav2,navigate_to_pose
1,Topology Graph + LLM Route Planner,7,/Users/brennenfarrell/Desktop/homework/senior/robotics/project/experiment_data_folder/experiment_1/flow_7/20260427_035815,goal_reached,368.66,15.360286871636438,0.6188405445227558,0.398,0,0,2763,2786,openai,gpt-4o
